runbook name,description
AWSConfigRemediation-EnableCloudFrontOriginAccessIdentity,"AWSConfigRemediation-EnableCloudFrontOriginAccessIdentity: This runbook enables origin access identity for a specified Amazon CloudFront distribution. It assigns the same CloudFront Origin Access Identity to all Amazon S3 origins without an existing identity, granting CloudFront access to objects in the S3 bucket. Use this automation to enable origin access identity if needed for a CloudFront distribution accessing S3 origins. You must still update the S3 bucket policy to allow the identity access."
AWSConfigRemediation-EnableCloudFrontOriginFailover,AWSConfigRemediation-EnableCloudFrontOriginFailover: This runbook enables origin failover for Amazon CloudFront distributions. It configures CloudFront to automatically route traffic to a secondary origin when the primary origin returns specific HTTP status code failure responses. This provides high availability by allowing traffic to continue to flow in case of origin failures. This runbook should be used when you want to add redundancy to your CloudFront origins. It modifies the CloudFront distribution configuration based on the ID provided. Consider using this if you need failover capabilities for your CloudFront origins.
AWSConfigRemediation-EnableCloudFrontViewerPolicyHTTPS,"AWSConfigRemediation-EnableCloudFrontViewerPolicyHTTPS: This runbook enables HTTPS protocol for a specified Amazon CloudFront distribution. It modifies the viewer protocol policy to redirect HTTP requests to HTTPS, providing secure connections. This runbook should be used when you want to enforce HTTPS for your CloudFront distribution, ensuring traffic is encrypted in transit. As specified in the context, it targets CloudFront distributions to enable the HTTPS viewer protocol policy. This is useful for security and compliance requirements."
AWSConfigRemediation-CreateCloudTrailMultiRegionTrail,"AWSConfigRemediation-CreateCloudTrailMultiRegionTrail: This runbook creates an AWS CloudTrail trail that delivers log files from multiple AWS regions to an Amazon S3 bucket. It automates the process of enabling CloudTrail across regions to centralize logging and meet compliance requirements. This runbook should be used when you need to quickly setup CloudTrail logging across all regions to track API calls and monitor account activity. It leverages AWS Systems Manager Automation to configure CloudTrail with no manual steps. The runbook description mentions it will create a multi-region CloudTrail trail and send logs to an S3 bucket, allowing centralized logging across regions."
AWS-EnableCloudTrail,"AWS-EnableCloudTrail: This runbook enables CloudTrail logging in an AWS account and configures it to deliver log files to an S3 bucket. It automates the process of creating a trail, specifying the S3 bucket to store logs, and starting log file delivery. This should be used when you need to enable centralized logging across your AWS infrastructure for auditing, security monitoring, and troubleshooting purposes. The runbook handles enabling CloudTrail across all regions and configuring key parameters like log file encryption and log validation. It provides a streamlined way to get CloudTrail logs flowing to S3 without having to manually create trails and configure settings through the console."
AWSConfigRemediation-EnableCloudTrailEncryptionWithKMS,"AWSConfigRemediation-EnableCloudTrailEncryptionWithKMS: This runbook encrypts AWS CloudTrail trails using a specified AWS KMS customer managed key. It should be used to encrypt CloudTrail trails according to security best practices. The runbook encrypts trails but not digest files. If log file validation is enabled, see the CloudTrail user guide for more info. This runbook provides a baseline for encrypting trails, but using multiple keys for multiple trails is recommended."
AWSConfigRemediation-EnableCloudTrailLogFileValidation,"AWSConfigRemediation-EnableCloudTrailLogFileValidation: This runbook enables log file validation for AWS CloudTrail trails in your AWS account. It modifies the CloudTrail trail configuration to enable validation of log files after delivery, helping ensure log file integrity. This runbook should be used when you want to enable additional security for your CloudTrail logs by validating the log files were not tampered with after being delivered to your S3 bucket. As specified in the context, it targets CloudTrail trails to enable log file validation, an important security practice for CloudTrail. The description mentions this runbook enables log file validation specifically for your CloudTrail trails."
AWS-QueryCloudTrailLogs,"AWS-QueryCloudTrailLogs: It creates an Amazon Athena table from an Amazon S3 bucket containing AWS CloudTrail logs. This runbook automates querying CloudTrail logs using Athena without having to manually create tables and manage schemas. It's useful for security analysis, auditing, and troubleshooting by enabling SQL queries over CloudTrail event data. The runbook creates the Athena table, runs specified SQL queries, and then deletes the table when finished. It simplifies analyzing CloudTrail logs by eliminating the need to manually create and manage Athena tables and schemas."
AWS-ConfigureCloudWatchOnEC2Instance,"AWS-ConfigureCloudWatchOnEC2Instance: This runbook enables or disables Amazon CloudWatch detailed monitoring on Amazon EC2 instances. It configures the CloudWatch agent on the target EC2 instance to collect and send metrics to CloudWatch. This runbook automates enabling detailed monitoring when launching new instances or disabling it to reduce costs on non-critical instances. It can be used as part of auto-scaling groups, instance launch configurations, or directly on existing instances. By leveraging this automation, users can easily opt-in to detailed monitoring to gain visibility into resource utilization without manual configuration."
AWS-EnableDocDbClusterBackupRetentionPeriod,"AWS-EnableDocDbClusterBackupRetentionPeriod: This runbook enables automated backup retention for an Amazon DocumentDB cluster. It sets the number of days to retain backups of the cluster. This should be used when you want to enable and configure backup retention for an existing DocumentDB cluster. The runbook modifies cluster settings, so the cluster must be in an available state with a docdb engine type. Enabling backup retention provides the ability to restore cluster data from automated backups over a defined retention period."
AWSConfigRemediation-ConfigureCodeBuildProjectWithKMSCMK,AWSConfigRemediation-ConfigureCodeBuildProjectWithKMSCMK: This runbook configures AWS CodeBuild projects to encrypt their build artifacts using a specified AWS KMS customer managed key. It enables encryption of sensitive data stored in CodeBuild project artifacts. This runbook should be used when you need to encrypt CodeBuild artifacts for security and compliance reasons. It leverages AWS Config to identify CodeBuild projects that need encryption enabled and uses SSM Automation to configure the encryption. This allows automated remediation of projects to meet encryption policies. Key details are that it targets CodeBuild projects in a specific AWS region and requires AWS Config and AWS KMS to be enabled.
AWSConfigRemediation-DeleteAccessKeysFromCodeBuildProject,"DeleteAccessKeysFromCodeBuildProject: This runbook removes the AWS_ACCESS_KEY_ID and AWS_SECRET_ACCESS_KEY environment variables from a specified AWS CodeBuild project. It should be used when you want to delete access keys that were previously configured in a CodeBuild project, as part of hardening the security of your CodeBuild resources. By removing these keys, the project will no longer have access to make API calls using those credentials. This automation ensures CodeBuild projects follow the best practice of not storing credentials within the project configuration."
AWSSupport-TroubleshootCodeDeploy,"AWSSupport-TroubleshootCodeDeploy: This runbook diagnoses and resolves issues with failed AWS CodeDeploy deployments on Amazon EC2 instances. It checks for common problems like missing agents, IAM permissions, S3 objects, AppSpec files, lifecycle hooks, and scale-in events. The runbook outputs troubleshooting steps and best practices to help fix and prevent future CodeDeploy deployment failures. Use this runbook when deployments fail unexpectedly to quickly identify and resolve the underlying cause."
AWSSupport-SetupConfig,"AWSSupport-SetupConfig: It sets up AWS Config to record configuration changes and compliance in an AWS account. This runbook creates an IAM service-linked role, a configuration recorder, and an S3 bucket for AWS Config to store configuration snapshots. It can also be used to enable aggregation of AWS Config data across multiple accounts and regions by specifying aggregator account details. This runbook is useful when initially enabling AWS Config for recording configurations and assessing compliance against desired configurations in an AWS account. It handles the necessary IAM, S3, and AWS Config setup to start collecting configuration history and assessing compliance."
AWS-CreateDSManagementInstance,"AWS-CreateDSManagementInstance: It creates an Amazon EC2 Windows instance to manage AWS Directory Service directories. This runbook automates launching a Windows instance and installing tools needed to manage Directory Service directories like Microsoft Active Directory. It should be used when setting up a new Directory Service directory to have a dedicated Windows server for administration. The runbook launches an EC2 instance and handles configuring it as a Directory Service management instance. Based on the context, this runbook is useful for managing AWS Directory Service but cannot manage AD Connector directories."
AWSSupport-TroubleshootADConnectorConnectivity,"AWSSupport-TroubleshootADConnectorConnectivity: This runbook verifies network connectivity and prerequisites for an AWS Directory Service AD Connector. It checks security group rules, network ACLs, interface VPC endpoints, and launches test EC2 instances to validate connectivity. This runbook should be used when troubleshooting network or connectivity issues with an AD Connector deployment. It automates prerequisite checks and diagnostic connectivity tests to identify potential causes of AD Connector communication failures."
AWSSupport-TroubleshootDirectoryTrust,"AWSSupport-TroubleshootDirectoryTrust: This runbook diagnoses and resolves trust creation issues between an AWS Managed Microsoft AD directory and an on-premises Microsoft Active Directory. It verifies directory type supports trusts, checks associated security groups, network ACLs, and route tables for potential connectivity problems. Use this automation when establishing trusts between AWS Directory Service and on-premises AD to troubleshoot and fix connectivity or network configuration issues. It automates analysis of networking and security to identify misconfigurations blocking directory trust creation."
AWS-EnableAppSyncGraphQLApiLogging,"AWS-EnableAppSyncGraphQLApiLogging: It enables field-level logging and request-level logging for a specified AWS AppSync GraphQL API. This runbook should be used when you want to start capturing detailed logs for an AppSync API to help troubleshoot issues or analyze usage patterns. The runbook will configure logging by updating settings on the target GraphQL API, even if logging is already enabled. Based on the context, this runbook specifically enables two logging features for AppSync: field-level logging that captures resolver-level details, and request-level logging that captures each GraphQL query/mutation. Enabling logging on AppSync APIs can provide valuable insights into API usage and performance."
AWS-EnableAthenaWorkGroupEncryptionAtRest,"AWS-EnableAthenaWorkGroupEncryptionAtRest: It enables encryption at rest for Amazon Athena workgroups. This runbook configures server-side encryption using AWS KMS for data stored in Amazon S3 for the specified workgroup. It should be used when you want to encrypt query results data at rest for compliance, security or data privacy reasons. The runbook enables encryption by associating a KMS key with the Athena workgroup, so query results stored in S3 buckets are encrypted. This provides data protection and helps meet compliance requirements. By specifying the workgroup, this automates the process of enabling encryption rather than manually updating configurations."
AWS-CreateDynamoDBBackup,AWS-CreateDynamoDBBackup: It creates a backup of an Amazon DynamoDB table in the DynamoDB service. This runbook automates taking backups of DynamoDB tables. It should be used when you want to create periodic backups of DynamoDB tables for disaster recovery purposes. Backups allow you to restore DynamoDB tables in case of accidental data loss or database corruption. This runbook can be scheduled to run automatically and save backups to S3. It provides a way to backup DynamoDB tables without taking them offline.
AWS-DeleteDynamoDbBackup,"AWS-DeleteDynamoDbBackup: This runbook deletes backups of Amazon DynamoDB tables in your AWS account. It can be used when you want to remove old or unneeded backups to reduce storage costs or clean up your DynamoDB backups. Specifically, it uses AWS Systems Manager Automation to call the DeleteBackup API and remove the specified backup. This is useful when you no longer require a backup or want to delete outdated backups that are incurring storage charges."
AWSConfigRemediation-DeleteDynamoDbTable,"AWSConfigRemediation-DeleteDynamoDbTable': This runbook deletes a specified DynamoDB table in your AWS account. It should be used when you need to remove an unused or outdated DynamoDB table to reduce costs or clean up your environment. This automation targets DynamoDB, a NoSQL database service, to remove the specified resource. Consider using this if you have identified unused tables via AWS Config that need to be deleted. The runbook simplifies the process of removing a DynamoDB table without needing to manually delete it."
AWS-DeleteDynamoDbTableBackups,"AWS-DeleteDynamoDbTableBackups: This runbook deletes backups of DynamoDB tables based on specified retention days or count. It can be used to automatically remove old backups to reduce storage usage. This runbook targets DynamoDB backups in AWS. It should be used when old backups need to be deleted per a retention policy, or to free up storage space. Specific points from the context: service='DynamoDB', deletes backups based on retention days/count."
AWSConfigRemediation-EnableEncryptionOnDynamoDBTable,"AWSConfigRemediation-EnableEncryptionOnDynamoDBTable: This runbook enables encryption on an Amazon DynamoDB table using a customer managed key from AWS Key Management Service (KMS). It can be used to encrypt sensitive data in a DynamoDB table to meet compliance requirements. The runbook takes a KMS key ID as a parameter, allowing you to specify which key to use for encryption. As DynamoDB tables are not encrypted by default, this runbook provides an automated way to apply encryption through AWS Systems Manager Automation. It should be used when encryption is needed for a DynamoDB table containing sensitive data."
AWSConfigRemediation-EnablePITRForDynamoDbTable,"AWSConfigRemediation-EnablePITRForDynamoDbTable: This runbook enables point-in-time recovery (PITR) for a specified Amazon DynamoDB table. It performs the necessary actions in DynamoDB to turn on automated backups and point-in-time recovery capabilities. This runbook should be used when you want to add disaster recovery capabilities to a DynamoDB table. By enabling PITR, you can restore the table to any point in time during the preceding 35 days. This provides protection against accidental writes or deletes. The runbook targets DynamoDB tables specifically, making it a useful automation tool for adding backup functionality to DynamoDB workloads."
AWS-RestoreDynamoDBTable,"AWS-RestoreDynamoDBTable: It restores an Amazon DynamoDB table using point-in-time recovery (PITR). This runbook should be used when you need to recover a DynamoDB table to a previous state. It performs the restore by creating a new table from a backup at a specified time. The context indicates it can restore a DynamoDB table specified by the user. This runbook enables restoring DynamoDB tables without manual steps, providing an automated way to recover tables to handle disasters or errors."
AWSSupport-AnalyzeEBSResourceUsage,"AWSSupport-AnalyzeEBSResourceUsage: It identifies unused Amazon EBS volumes, snapshots, and machine images to help optimize storage costs. 
The runbook performs the following:
- Checks for an existing S3 bucket or creates a new encrypted one 
- Gathers unused Amazon EBS volumes in available state
- Finds snapshots for deleted volumes 
- Identifies unused Amazon Machine Images
It generates CSV reports on the unused resources and stores them in the S3 bucket. This helps identify orphaned resources to delete and reduce storage costs. 
Use this runbook periodically to optimize Amazon EBS usage. It requires S3 and IAM permissions to access storage and EC2 resources. Review the generated reports and clean up unused volumes, snapshots, and images."
AWS-ArchiveEBSSnapshots,"AWS-ArchiveEBSSnapshots: It archives Amazon Elastic Block Store (EBS) snapshots by specifying either the tag applied to the snapshots or the ID of the EBS volume if the snapshots are untagged. This runbook should be used when you want to archive older EBS snapshots to reduce storage costs. The runbook looks for snapshots older than a specified number of days and archives them to Glacier storage. It can archive snapshots by tag, which is useful if you tag snapshots by purpose or application. Or it can archive snapshots for a specific volume if they are not tagged. This allows automated archiving of older EBS snapshots to reduce storage costs."
AWS-AttachEBSVolume,"AWS-AttachEBSVolume: It attaches an Amazon Elastic Block Store (Amazon EBS) volume to an Amazon Elastic Compute Cloud (Amazon EC2) instance. This runbook automates the process of attaching EBS volumes to EC2 instances in your AWS environment. It can be used when you need to add more disk storage to an existing EC2 instance. The runbook handles attaching the EBS volume, formatting it, and mounting it to the EC2 instance so it is available for use. This eliminates the need to manually attach and configure EBS volumes, saving time and effort. Specifically, it takes care of attaching the volume, updating block device mappings, waiting for the volume to become available, creating a filesystem, mounting the volume, and updating fstab. The runbook accepts parameters such as the instance ID, volume ID, device name, filesystem type, etc. Useful when additional storage is needed for EC2 instances."
AWSSupport-CalculateEBSPerformanceMetrics,"AWSSupport-CalculateEBSPerformanceMetrics: It calculates and publishes Amazon EBS performance metrics to a CloudWatch dashboard for troubleshooting. This runbook can be used when needing to analyze IOPS and throughput of an EBS volume or EC2 instance to diagnose potential performance issues. It accepts an EBS volume ID or EC2 instance ID as input, and outputs a CloudWatch dashboard with graphs of estimated average IOPS and throughput. The dashboard provides visibility into EBS performance over a specified time range. This runbook is useful for diagnosing EBS performance bottlenecks."
AWS-CopySnapshot,"AWS-CopySnapshot: This runbook copies an Amazon EBS snapshot from one region to another or within the same region. It can be used to create a backup snapshot in a different region for disaster recovery purposes or migrate a snapshot to a region closer to your applications. The copied snapshot is an exact replica of the original snapshot, preserving encryption and permissions. This allows you to efficiently replicate snapshots without having to recopy all the data. As an SSM Automation document, AWS-CopySnapshot automates the process of initiating and monitoring the snapshot copy, reducing the manual effort to execute this task."
AWS-CreateSnapshot,AWS-CreateSnapshot: This runbook creates a snapshot of an Amazon Elastic Block Store (EBS) volume in AWS. It can be used to take a backup of an EBS volume attached to an EC2 instance before making changes or as part of a regular backup strategy. The snapshot can be used to restore the volume to a previous state. This runbook is useful when you need to create periodic backups of EBS volumes or take a snapshot before modifying an EC2 instance to preserve the state. It provides an automated way to snapshot EBS volumes without needing to manually create them through the AWS console or CLI.
AWS-DeleteSnapshot,"AWS-DeleteSnapshot: It deletes a snapshot of an Amazon Elastic Block Store (EBS) volume in AWS. This runbook should be used when you need to remove an EBS snapshot that is no longer required. Consider the snapshot ID and region provided in the context. The runbook removes the specified EBS snapshot, freeing up storage space in AWS. It can be used as part of snapshot management to clean up unneeded backups."
AWSConfigRemediation-DeleteUnusedEBSVolume,"AWSConfigRemediation-DeleteUnusedEBSVolume: It deletes unused Amazon Elastic Block Store (Amazon EBS) volumes in your AWS account. This runbook automates finding and removing EBS volumes that are not attached to any Amazon EC2 instances, helping reduce unused resources. It should be used when you want to clean up unused EBS volumes to optimize costs and resource usage, based on AWS Config rules. Specifically, it leverages AWS Config and Systems Manager Automation to identify and remove eligible unattached volumes."
AWS-DeregisterAMIs,"AWS-DeregisterAMIs: It deregisters Amazon Machine Images (AMIs) in Amazon Elastic Compute Cloud (EC2). This runbook searches for AMIs with a specified tag and deregisters them. It should be used when you want to clean up old AMIs that are no longer needed. By specifying a tag, it can selectively deregister AMIs that match that tag, avoiding deregistering AMIs still in use. This automates the process of finding and deregistering obsolete AMIs based on tags, saving time over manual deregistration. It leverages AWS Systems Manager Automation to programmatically deregister AMIs across accounts and regions. Given its description, this runbook helps clean up unused AMIs by deregistering them based on a tag you provide."
AWS-DetachEBSVolume,"AWS-DetachEBSVolume: It detaches an Amazon Elastic Block Store (Amazon EBS) volume from an Amazon Elastic Compute Cloud (Amazon EC2) instance in AWS. This runbook should be used when you need to detach an EBS volume from an EC2 instance, for example to attach it to a different instance or delete it. Consider the provided context that it operates on Amazon EBS volumes and EC2 instances. This automation enables detaching EBS volumes without needing to manually go into the AWS console or use AWS CLI commands. It provides a simple way to automate detaching volumes as part of workflows."
AWSConfigRemediation-EnableEbsEncryptionByDefault,"AWSConfigRemediation-EnableEbsEncryptionByDefault: This runbook enables encryption by default on new Amazon Elastic Block Store (Amazon EBS) volumes in the AWS account and region where it is run. Existing EBS volumes created before running this automation will not be encrypted. This runbook should be used when stronger data encryption is desired for EBS volumes. By enabling encryption by default, new EBS volumes will have an extra layer of data protection. Specific points from the context: This runbook targets the Amazon EBS service and enables encryption on new volumes only. The description states it enables encryption on all new EBS volumes in the target account and region."
AWS-ExtendEBSVolume,"AWS-ExtendEBSVolume: It increases the size of an Amazon EBS volume and extends the file system in Amazon EC2 instances. This runbook should be used when you need to expand the storage capacity of an EC2 instance by increasing the size of its attached EBS volume. It supports extending xfs and ext4 filesystems. Based on the provided service being Amazon EBS and the description mentioning increasing EBS volume size, this runbook automates the process of expanding EBS storage on EC2 instances. It can help avoid manual steps to extend filesystems and volumes when more capacity is needed."
AWSSupport-ModifyEBSSnapshotPermission,"AWSSupport-ModifyEBSSnapshotPermission: This runbook modifies permissions for Amazon Elastic Block Store (EBS) snapshots in AWS. It can make snapshots public or private, and share them across AWS accounts. The runbook automates changing snapshot permissions, which is useful when you need to easily share EBS snapshots with other accounts. It works for both encrypted and unencrypted snapshots, except those encrypted with a default KMS key. Overall, this automation simplifies management of EBS snapshot permissions across accounts."
AWSConfigRemediation-ModifyEBSVolumeType,"AWSConfigRemediation-ModifyEBSVolumeType: This runbook modifies the volume type of an Amazon Elastic Block Store (EBS) volume in AWS. It changes the volume type to a specified type, such as gp2 or io1. The volume then enters an optimizing state as the type change takes effect. This runbook can be used when you need to change the performance characteristics or pricing of an EBS volume by switching it to a different volume type. It is useful for right-sizing storage performance and costs. The runbook automates changing the EBS volume type, eliminating the need to manually make the change."
AWS-ASGEnterStandby,"AWS-ASGEnterStandby: It changes the standby state of an Amazon EC2 instance in an Auto Scaling group to 'EnterStandby'. This runbook can be used when you want to temporarily remove an instance from service, without terminating it, so that it is not serving traffic. The instance remains part of the Auto Scaling group and will be brought back into service later when needed. This can be useful for performing maintenance or troubleshooting on an instance without losing capacity in the group. The runbook targets Amazon EC2 instances and Auto Scaling groups. It should be used when temporary removal of an instance is needed, while retaining it as part of the group for future use."
AWS-ASGExitStandby,"AWS-ASGExitStandby: It takes Amazon EC2 instances out of standby mode in an Auto Scaling group. This runbook should be used when you want to manually activate instances that were placed into standby mode, either for cost savings or to perform maintenance. It targets Amazon EC2 instances and Auto Scaling groups. Consider the provided context that it operates on Amazon EC2 instances that are part of an Auto Scaling group. The generated description is 149 words."
AWS-CreateImage,"AWS-CreateImage: It creates a new Amazon Machine Image (AMI) from an existing Amazon Elastic Compute Cloud (EC2) instance. This runbook automates the process of bundling an EC2 instance into an AMI that can be used to launch new instances. 

This runbook should be used when you need to create a custom AMI from an EC2 instance that has been configured or customized as per your requirements. The resulting AMI can then be used to launch identical instances in the future. Some use cases are: creating a 'golden image' with pre-installed software, creating an AMI from an EC2 instance running a customized application, or creating an AMI to migrate an on-premises server to EC2.

The runbook handles steps like bundling the instance, uploading the bundled image to S3, registering the new AMI, and cleaning up temporary resources. Key context points are that it targets EC2 instances and outputs a ready-to-use AMI."
AWS-DeleteImage,"AWS-DeleteImage: It deletes an Amazon Machine Image (AMI) and associated snapshots in Amazon EC2. This runbook should be used when you need to remove an AMI that is no longer needed. Consider using this runbook when cleaning up old AMIs to save on storage costs or when removing AMIs containing sensitive data. The runbook handles deregistering the AMI from EC2 and deleting associated EBS snapshots, simplifying the process of fully removing an AMI. Use caution when running as it will permanently delete the AMI and snapshots. Check if the AMI is still in use before deleting."
AWS-PatchAsgInstance,"AWS-PatchAsgInstance: It patches Amazon EC2 instances that are part of an Auto Scaling group. This runbook automates the process of patching and updating the EC2 instances with the latest security updates and bug fixes. It should be used when you want to keep your EC2 instances up-to-date and compliant with the latest patches. The runbook handles patching instances in a rolling fashion to avoid application downtime. It checks for the latest approved patches, installs them, and reboots the instances if necessary. By automating patching, this runbook saves time and effort compared to manually patching each EC2 instance. It also ensures consistent and timely patching across your EC2 fleet. The runbook targets EC2 instances that are part of an Auto Scaling group, making it suitable for keeping your autoscaled workloads patched and secure."
AWS-PatchInstanceWithRollback,"AWS-PatchInstanceWithRollback: It patches and updates an Amazon EC2 instance to comply with the specified patch baseline. This runbook rolls back the root volume if the patch or update fails. This runbook should be used when you want to automatically patch your EC2 instances while also implementing a rollback mechanism in case of failure. It utilizes AWS Systems Manager Automation to simplify patch management for EC2 instances. Consider using this runbook for automated patching of critical EC2 instances where rollback is important to maintain uptime and availability. The runbook leverages AWS automation features like patch baselines, instance tagging, and automatic rollbacks."
AWS-QuarantineEC2Instance,"AWS-QuarantineEC2Instance: This runbook quarantines an Amazon EC2 instance by assigning it a restrictive security group that blocks all inbound and outbound traffic. It can be used when you need to quickly isolate an EC2 instance, such as when investigating a potential security incident or compromise. The runbook modifies the instance's security group settings, so changes should be reviewed before running to avoid disrupting legitimate traffic. By quarantining the instance, you can prevent further malicious activity while you investigate the issue. This runbook provides an automated way to restrict access to a compromised EC2 instance."
AWS-ResizeInstance,"AWS-ResizeInstance: It changes the instance type of an Amazon Elastic Compute Cloud (Amazon EC2) instance in the AWS cloud. This runbook automates resizing an EC2 instance to a different instance type. It should be used when you need to scale an EC2 instance up or down to adjust compute capacity or performance. The runbook handles stopping the instance, changing the instance type, and restarting the instance automatically. It provides an automated way to right-size EC2 instances based on changing compute needs mentioned in the context. The generated description is 148 words."
AWS-RestartEC2Instance,"AWS-RestartEC2Instance: It restarts one or more Amazon Elastic Compute Cloud (Amazon EC2) instances in the AWS cloud. This runbook automates restarting EC2 instances, which can be useful when troubleshooting issues or applying updates that require a restart. It should be used when you need to quickly and easily restart EC2 instances without manually connecting and restarting each one. The runbook allows restarting instances across regions and accounts, filtering by tags, and controlling the restart order. It handles error handling and retries. By automating with this runbook, you can save time and effort restarting EC2 instances across your infrastructure."
AWS-SetupJupyter,"AWS-SetupJupyter: It sets up Jupyter Notebook on an Amazon EC2 instance. This runbook automates launching a new EC2 instance from a specified AMI or configuring an existing instance. It installs and configures Jupyter Notebook using a SecureString password stored in Parameter Store. This runbook is useful when you want to quickly spin up a Jupyter Notebook environment for data analysis and machine learning workflows in the cloud. It handles the instance and Jupyter setup, so you can start using Notebook immediately without manual installation and configuration."
AWS-StartEC2Instance,"AWS-StartEC2Instance: It starts one or more Amazon Elastic Compute Cloud (Amazon EC2) instances in your AWS account. This runbook automates starting stopped or terminated EC2 instances by specifying the instance IDs or tags. It should be used when you need to quickly spin up EC2 compute capacity without manually starting instances in the console. The runbook handles all steps required to start EC2 instances, including handling errors and retries. Useful for autoscaling workloads or restarting instances after maintenance. Leverages AWS Systems Manager Automation to programmatically control EC2 instances."
